イベント名,公式ハッシュタグ,参加詳細/リクイン先,参加方法,定期開催時刻 (開始),定期開催時刻 (終了),開催日時スタート,開催日時エンド,引用元ツイート全文,tweet_id_source
不明,,hinjaku,リクイン,20:55,,2025-04-14 20:55:00,,"4/14
おはよ～
月曜日、昨夜熱が出ましたが、朝起きたら下がってました。
仕事休めずです。
さて今夜は、

20:55
神州酒場 神無月 特別イベントデー 第1部
稀人1人に神様が2柱で接客
hinjakuにリクイン",1.911593627e+18
不明,,IL/インスタンス | 抽選/予約等,Group Join・Join・抽選/予約等,21:40,,2025-04-10 21:40:00,,"おはよ～
金曜日、お仕事終わったら週末です。帰る時間は雨っぽいね。
昨日も地元は大雨で傘さしてても濡れちゃったよ〜
さて今夜は

21:40
オタクに優しいギャルBar
グループインスタンスにJoin後に抽選

21:45
メイドカフェAmulet
渋谷夕夏に",1.910462686e+18
不明,,IL/インスタンス,,20:55,,2025-04-09 20:55:00,,"おはよ～
木曜日、夕方は雨降るみたいですね。
週末まであと2日なので耐えていきましょう！
さて今夜は、

20:55
Fly me to the MOON
とっととずらか郎

20:55
Ravissa
ILに",1.910100202e+18
不明,,IL/インスタンス,リクイン,20:55,,2025-03-26 20:55:00,,"おはよ～
木曜日、気分は金曜なんですけど？
今週長いです。
電車はなぜか空いていますね。
さて今夜は、

20:55
Ravissa
ILにリクイン

21:55
ヘヴンリープリズン当日枠 第一部
「綾女 ayame」へ",1.905026975e+18
綾女 ayame,,,当日枠,21:55,,2025-03-26 21:55:00,,"おはよ～
木曜日、気分は金曜なんですけど？
今週長いです。
電車はなぜか空いていますね。
さて今夜は、

20:55
Ravissa
ILにリクイン

21:55
ヘヴンリープリズン当日枠 第一部
「綾女 ayame」へ",1.905026975e+18
不明,#EXTENSIONCLOTHING,IL/インスタンス,,21:30,,2025-03-23 21:30:00,,"おはよ～
月曜日、週の始まり！
暖かいですね、春かな？
電車の中では上着も脱いでます。
衣装は #EXTENSIONCLOTHING
 の第七特務機関ワルキューレだよ！
さて今夜は、

21:25(相席OK)/21:30(相席NG)
天使界隈喫茶ぷろとへぶん
どちらかのILに",1.903946997e+18
不明,,rumaruLunareal,,21:00,,2025-03-20 21:00:00,,"おはよ～
金曜日、週末が来ますね。
本当は有休取って4連休とりたかったのですが...
さて今夜は

20:50
アニソンHMD vol.89
Group＋

21:00
STARLIGHT
グループ+にJOIN

21:00
LUNA REAL -virtual cabaret club 1部
rumaruLunarealへ",1.902853026e+18
不明,,IL/インスタンス,リクイン,20:55,,2025-03-19 20:55:00,,"おはよ～
木曜日、祝日ですね。
いっぱいunityの予定ですが早くも眠いですね。
2度寝したほうがいいかな？
さて今夜は、

20:55
Ravissa
ILにリクイン

21:50:キャバクラ希望の方
22:00:ホスト希望の方
Charme プレオープン
おねんねますたー。｣に",1.902501928e+18
A：Ntinomy,,当日発表,リクイン,20:55,,2025-03-02 20:55:00,,"おはよ～
月曜日、久しぶりの雨ですね。
そして暖かい、電車の中で蒸し蒸ししてます。
月初はうちの仕事忙しいんですよね〜
さて今夜は、

20:55
Whisper Cabaret『A：Ntinomy』
当日発表のILのリクイン

21:30
電脳カルテ 2/12VRC不具合のリベンジ営業
グループにJoin",1.896334656e+18
不明,,IL/インスタンス | 抽選/予約等,Group Join・Join・抽選/予約等,21:40,,2025-02-27 21:40:00,,"おはよ～
金曜日、ようやく週末がきます！
夕方まで耐えましょうね！
さて今夜は

21:40
オタクに優しいギャルBar
グループインスタンスにJoin後に抽選

21:45
どりーむぷらねっと サンリオVfes コミュニティコラボ
ninontaurusuにJoin

21:45
メイドカフェAmulet
ILに",1.895244865e+18
不明,,ninontaurusu,Join,21:45,,2025-02-27 21:45:00,,"おはよ～
金曜日、ようやく週末がきます！
夕方まで耐えましょうね！
さて今夜は

21:40
オタクに優しいギャルBar
グループインスタンスにJoin後に抽選

21:45
どりーむぷらねっと サンリオVfes コミュニティコラボ
ninontaurusuにJoin

21:45
メイドカフェAmulet
ILに",1.895244865e+18
不明,,IL/インスタンス,,21:45,,2025-02-27 21:45:00,,"おはよ～
金曜日、ようやく週末がきます！
夕方まで耐えましょうね！
さて今夜は

21:40
オタクに優しいギャルBar
グループインスタンスにJoin後に抽選

21:45
どりーむぷらねっと サンリオVfes コミュニティコラボ
ninontaurusuにJoin

21:45
メイドカフェAmulet
ILに",1.895244865e+18
不明,,IL/インスタンス,リクイン,20:55,,2025-02-26 20:55:00,,"おはよ～
木曜日、まだ2日ありますね〜
早く終わって〜
さて今夜は、

20:55
Ravissa
ILにリクイン1回

20:55
森羅くんカフェ 【フルプラカフェ】1部
てんじくに",1.894885952e+18
フルプラカフェ,,,,20:55,,2025-02-26 20:55:00,,"おはよ～
木曜日、まだ2日ありますね〜
早く終わって〜
さて今夜は、

20:55
Ravissa
ILにリクイン1回

20:55
森羅くんカフェ 【フルプラカフェ】1部
てんじくに",1.894885952e+18
不明,,IL/インスタンス | arutokun | 抽選/予約等,Discord抽選+Join,21:00,,2025-02-24 21:00:00,,"おはよ～
火曜日、3連休終わりました〜
4日間耐えましょうね。
さて今夜は、

21:00
Conductor
専用Discordサーバーでの抽選+ILにJoin
第1ins：昊（そら）
第2ins：arutokun

21:00
STARLIGHT
グループ+にJOIN

21:50
ウルタール -Ulthar-
ˇさえˇに",1.894156098e+18
レヴプリ,,Aria-Muse | フレリク,フレンド申請・リクイン,21:50,,2025-02-24 21:50:00,,"おはよ～
月曜日、土日にあたらしい子作ってなかったのでUnity頑張らなきゃ！ 
さて今夜は、

21:50
Le reave de princesses
ル・レーヴ・ドゥ・プリンセスィー 【レヴプリ】
Aria-Museにリクイン1回
フレリク：21:00締切

21:50
DeepEuphoria
RIFO_ILに",1.8938269e+18
不明,,IL/インスタンス | RIFO_IL,,21:50,,2025-02-24 21:50:00,,"おはよ～
月曜日、土日にあたらしい子作ってなかったのでUnity頑張らなきゃ！ 
さて今夜は、

21:50
Le reave de princesses
ル・レーヴ・ドゥ・プリンセスィー 【レヴプリ】
Aria-Museにリクイン1回
フレリク：21:00締切

21:50
DeepEuphoria
RIFO_ILに",1.8938269e+18
不明,,IL/インスタンス,リクイン,20:55,,2025-02-05 20:55:00,,"おはよ～
木曜日、めっちゃ寒いね〜
今日は健康診断！
朝一で取らなきゃいけないもの寝ぼけて忘れちゃった！！(その後取れました)
さて今夜は、

20:55
Ravissa
ILにリクイン1回

21:00
STARLIGHT
グループ+にJOIN

21:45-50
Host&Cabaret Club月下美人 一部(ホスト)
月ノ宮みこおmikooに",1.887270715e+18
不明,,mikoo,,21:45,,2025-02-05 21:45:00,,"おはよ～
木曜日、めっちゃ寒いね〜
今日は健康診断！
朝一で取らなきゃいけないもの寝ぼけて忘れちゃった！！(その後取れました)
さて今夜は、

20:55
Ravissa
ILにリクイン1回

21:00
STARLIGHT
グループ+にJOIN

21:45-50
Host&Cabaret Club月下美人 一部(ホスト)
月ノ宮みこおmikooに",1.887270715e+18
